CASE,QUESTNNR,STARTED,AA03,AA04,AA07_01,CC01_01,CC01_02,CC01_03,CC03_01,DD01,DD08_01,DD09_01,DD10_01,DD10_02,DD10_03,Resilienz,DD10_04,DD10_05,DD11_01,DD11_02,DD11_03,DD02_01,DD02_02,DD02_03,DD12_01,DD12_02,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01_CP,Zufallsgenerator
329,SE,3/3/2021 14:22,2,2,Oberschule zum Dom,,,,,2,"""Die Erde sei Flach""
""USA versteckt Aliens""
""ALiens sind unter uns""
""Mondlandung fake""
""Nasa faked alles""
""Menschen unter der Erdkruste""
""Corona ist eine Lüge""
","Sie ergeben oft keinen Sinn und sind einfach falsch.
",,3,2,2.5,1,,1,2,1,,3,3,2,,4,5,,2,16,3,2
331,SE,3/3/2021 14:22,2,2,Oberschule zum Dom,,,,,2,kenne keine,"keine Klare bestätigung der Ereignisse
",2,2,2,2,3,2,1,1,2,4,3,2,5,4,,2,,1,15,4,2
333,SE,3/3/2021 14:22,2,2,Oberschule zum Dom ,,,,,2,"- 11. September 
- Erde ist eine Scheibe ",Das man die nicht wirklich beweisen kann ,,3,2,2.5,3,,1,1,1,3,3,4,3,3,3,3,,1,15,5,2
346,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Die Rotschildfamilie - Eine Reiche Familie, die die Weltherrschaft übernehmen will

Pizza Gate - Stars wie z.B Barack Obama würden Kindern ein Hormon (Adrenochrom) aus dem Körper entnehmen und dann trinken. Es soll wohl ein satanistisches Ritual sein

Merkel ist Hitlers Tochter

 ",#NAME?,3,5,4,4,4,,2,4,3,5,4,3,5,5,3,4,2,1,18,9,2
350,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Reptiloide/Echsenmenschen- Politiker und Prominente sind eigentlich eine Art Echse und kontrollieren die Welt
- Die Pyramiden wurden von Aliens gebaut
Qanon- es gibt eine satanistische Elite, welche Kinder entführt und sie ermordet, um sich aus ihrem Blut einen Verjüngungstrank herzustellen. Zu den Verschwörern gehören z.B Obama und Clinton
Pizzagate- Die oben beschreibene Elite hat einen Kinderhandelsring zur Prostitution
-Die Nazis haben eine Station hinter dem Mond
Neuschwabenland- Die Nazis haben eine Geheimbasis in der Antarktis
- Hitler ist nie gestorben und lebt nun in Argentinien
","Es gibt immer ein ""gut"" und ""böse""
Es wird oft etwas beschrieben, was mit einer Elite oder der Weltherrschaft zutun hat
Es hat sich oft, eine Übermächtige Gruppe verschwört
Es werden oft Minderheiten behandelt",4,4,4,4,2,5,2,4,4,5,4,3,5,5,5,4,2,1,17,10,2
368,SE,3/5/2021 7:35,2,3,Detlefsengymnasium Glückstadt,,,,,2,"QAnon: Die Anhänger bezeichnen es als einen Weltrettungskult, der ihrer Meinung nach von Trump angeführt wird. Er heizt das ganze auch weiter an. Sie sind davon überzeugt, dass Trup derjenige ist, der die Menschheit retten wird. QAnon interpretiert zum Beispiel Gesten, Zahlenfolgen von irgendwelchen Prominenten oder Politikern.","Bei Verschwörungstheorien wird behauptet, dass es gut und böse, aber nichts dazwischen gibt. Sie wollen die Menschheit von etwas überreden. Manchmal auch Weltrettungskults.",2,,,2,3,,2,2,4,4,,,5,5,4,5,,1,17,16,2
375,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"- Q-Anon: eine angebliche ""Elite"" quäle Kinder und trinke deren Blut, um Jugend zu erlangen (Dieser Mythos ist vermutlich durch die Ritualmordlegende inspiriert.)
- Bill Gates wolle Kontrolle über die Weltbevölkerung erlangen, indem er durch Impfungen Chips in Menschen implantiert   ","- wissenschaftliche Fakten werden ignoriert
- überall werden Zusammenhänge erkannt
- es geht gegen eine bestimmte Person/Gruppe von Personen
- diejenigen, die an eine Verschwörungstheorie glauben, sind der Meinung, dass nur sie etwas wirklich verstanden haben und nun alle anderen aufklären müssen
- Widersprüche innerhalb eines Verschwörungsmythos' werden nicht bemerkt  ",2,4,3,3,4,3,3,3,3,5,4,4,4,4,4,4,2,1,17,19,2
376,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Ich weiß keine genauen Namen, aber mir fallen zwei Theorien zum aktuellen Thema ein:

-Impfungen enthalten Mikrochips, die unter der Haut eingesetzt werden und die Menschen überwachen sollen

-die Pandemie gibt es nicht, die Schließungen von Läden, Schulen, Freizeitbeschäftigung und die Kontaktbeschränkung, also die gesamten Lockdowns sind ein Test, um zu sehen, wie wir Menschen in einer ""wirklichen"" Pandemie handeln würden und wie weit wir gehen können


",#NAME?,3,2,,2.5,2,,1,2,1,4,,,2,3,4,,,1,17,20,2
378,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"QAnon

ChemTrails

Ritualmordlegende: Juden würden in der Osterzeit Kinder töten und trinken deren Blut:

Illuminaten: Ist eigentlich ein Geheimbund, der aufklären wollte, doch die Menschen denken, dass sie die Weltherrschaft wollen

Bill Gates: Bill Gates würde die Menschen mit Impfstoff und Chips kontrollieren wollen -> Corona

Die Erde sei flach. ",#NAME?,3,4,3,3.333333333,2,3,2,2,2,4,3,3,4,5,5,5,3,1,17,21,2
380,SE,3/5/2021 9:20,2,3,Detlefsengymnasium,,,,,2,"Die Verschwörungstheorien rund um Q-Anon. (Deep-State, etc.) Außerdem die ""Election fraud""- Theorie von Donald J. Trump.
Weitere Verschwörungstheorien rund um die Freimaurer. (oft jüdisch-masonische Verschwörungstheorien; P2-Loge, etc.)
Verschwörungstheorien, die in manchen New religious movements verbreitet werden. (Mankind United, etc.)
","Klare Unterteilung in Gut (Verschwörungstheoretiker) und Böse (Verschwörer).
Erklärungen für bestimmte Phänomene/Ereignisse/Gegebenheiten > ein Gefühl der Überlegenheit wird bei den Verschwörungstheoretikern ausgelöst, da sie die ""bösen"" Machenschaften ""entlarvt"" haben.
Es muss eine klar definierbare Gruppe geben, die schuldig ist (z.B. Demokraten, Freimaurer, Juden).
Geheimniskrämerei; die angeblichen Verschwörer arbeiten im Verborgenen, aber auch die Verschwörungstheoretiker legen nicht alles offen (z.B. die Identität von Q).
unterschiedliche Ereignisse hängen zusammen (z.B. JFKs Tod und die Mondlandung).
Verschwörungstheoretiker schotten sich teilweise oder vollkommen von der Außenwelt ab. Sie verbringen viel zeit in Chat-Gruppen oder informieren sich nur mit Hilfe von ihnen bekannten Medien, die ihre Meinung teilen.",4,4,3,3.666666667,1,2,2,4,3,5,3,3,5,5,4,,,-9,17,22,2
385,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"- Klimawandelleugnung
-QAnon (-> Adrenochrom)
- Covid9 Leugnung
- Manipulierte Wahlen (z.B. USA)
-Area 51
- ","- Verschwörer*innen machen andere Menschen für gewisse Dinge verantwortlich
-  Verschwörer*innen suchen ""Beweise"", die auf ihre Theorien hinweisen
          -> es gibt keine Zufälle, alles passiert aus einem Grund
- Es gibt für Verschwörungstheoretiker*innen nur Gut oder Böse, nichts dazwischen
",2,4,3,3,2,4,3,2,3,4,4,3,4,4,4,4,,1,16,24,2
386,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"- 9/11
-area 51
- Corona-Leugner
- Echsenmenschen
- Aliens
-Angela Merkel
-JFK
- Andere Mächte",Sie sind alle nicht bewiesen. Es richtet sich gegen die breite Masse.,2,4,4,3.333333333,2,2,1,2,2,3,3,3,4,4,4,4,4,1,17,25,2
388,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"- Bill Gates implantiere Chips zur z.B. die Corona-Impfstoffe
- Camp Trails, also die Kondensstreifen von Flugzeugen, sprühten von der Regierung angeordnet Substanzen in unsere Luft
- die Erde sei Flach
- Q-Anon-Anhänger denken, dass es eine High-Society Verschwörung von Politikern und reichen Leuten gäbe
- Freimaurer sollen bei ihren Treffen geheime Informationen und Verschwörungen ausgetauscht haben
- Politiker nähmen Adrenochrom, eine Droge aus Kinderblut
- laut der Ritualmordlegende opfern Juden christliche Kinder dem Teufel und trinken ihr Blut
- Reichsbürger glauben, der Deutsche Staat existiere nicht
- laut den gefäschten ""Protokollen der Weisen von Zion"" gibt es eine jüdische Weltverschwörung",#NAME?,3,4,3,3.333333333,2,2,3,4,3,4,4,3,4,4,4,4,2,1,17,26,2
409,SE,3/10/2021 12:27,2,2,Oberschule zum Dom ,,,,,2,#NAME?,#NAME?,2,,3,2.5,2,,1,,2,4,,3,3,4,4,,,1,16,34,2
412,SE,3/10/2021 12:28,2,2,Oberschule zum Dom,,,,,2,"Hexenverfolgung, Area 51, COVID9","Eine angeblich geheime Verschwörung, eine Gruppe von Verschwörern(die Bösen), Verschwörungstheoretiker(die Guten), es gibt keine Zufälle",2,4,,3,3,2,1,2,2,5,4,2,3,4,,4,,1,16,36,2
417,SE,3/10/2021 12:28,2,2,Oberschule zum Dom Lübeck,,,,,2,"Nur die Verschwörungstheorie bei der die Verschörungstheoretiker meinen das es Corona nicht gibt und sie meinen das der Staat, ... sich das nur ausgedacht haben (aus verschiedenen Gründen)",#NAME?,3,3,,3,2,3,1,2,1,5,,,4,4,,5,,1,15,38,2
425,SE,3/10/2021 12:28,2,2,Oberschule zum Dom,,,,,2,#NAME?,#NAME?,2,2,2,2,4,3,2,3,3,4,3,3,4,4,4,4,,1,15,42,2
434,SE,3/11/2021 11:17,2,3,Carl-Jacob-Burckhardt-Gymnasium,,,,,2,"1.9/11-Verschwörungstheorien: Anschlägge vom US Geheimdienst
2. Klimawandelleugnung: Die golbale Erwärmung sei nicht real und nur erfunden. Auch von Politikern verwendet (Afd). ""Sonne solle weniger scheinen.""
3.Boston-Marathon Anschlag: Inszienierung dessen um Angst gegenüber nicht Amerikanern zu schaffen, vor allem gegenüber dem Islam
4.COVID9: 
COVID9 exestiert nicht, ist nicht schlimm oder wurde von Bill Gates erzeugt.
5.:  Bill Gates: 
Bill Gates sooll Kindern Blut enthmenen und dieses als ""Lebenselixier"" verwenden.","-behauptenGeheimwissenzuhaben
-sehen hinter fast allem eine Böse Person oder Macht die alles anteibt
-",5,5,5,5,5,4,2,4,2,2,4,1,3,3,5,5,2,1,16,46,2
437,SE,3/11/2021 11:20,2,3,Carl-Jacob-Burckhardt-Gymnasium,,,,,2,Covid9 Verschwörungstheorie ,"-behaupten sich auf viele Quellen zu beziehen
-sehen hinter vielem eine ""Böse Macht""
",3,4,2,3,3,,1,1,2,3,3,3,3,3,4,3,,1,17,47,2
444,SE,3/11/2021 11:23,2,3,Carl-Jacob-Burckhardt-Gymnasium,,,,,2,"Bill Gates hat das Coronavirus erschaffen, um die Welt zu regieren.",#NAME?,3,3,2,2.666666667,4,4,1,2,2,3,2,2,3,4,4,3,,1,16,51,2
464,SE,3/18/2021 11:00,2,3,Kaiser-Karl-Schule,,,,,2,"1. Es gibt ein Regime ,welches über Flugzeuge chemische Mittel abwerfen ,die uns beeinflussen wodurch wir gelenkt und kontrolliert werden.
2. Die Erde ist keine runde Kugel sondern eine flache Scheibe.
3. Gretha Thunberg hat in einem chinesischen Labor das Coronavirus entwickelt und 
freigesetzt.
4. Die Corona-Pandemie ist nur eine Erfindung um ein großes totalitäres Regime aufzubauen.
5. Die USA waren nie auf dem Mond.
6. Es gibt keinen Klimawandel. Die Erde wird sogar immer kühler.","Generell sind Verschwörungstheorien Erklärungsversuche ,die aber nie auf wissenschaftliche Fakten basieren. Meistens werden diese einfach nur erfunden so wie es ihnen am meistens passt. Verschwörungstheorien existieren auch um einen
guten Grund zu haben damit man protestieren kann und das Recht besitzt die jetzige
Regierung auszuwechseln. Definitiv bieten diese Theorien die Möglichkeit Dampf abzulassen also seine Wut auszuleben und mit Anderen zu zeigen.",3,4,4,3.666666667,1,1,3,3,4,4,4,3,3,4,5,5,2,2,17,60,2
470,SE,3/18/2021 11:17,2,3,Kaiser-Karl-Schule ,,,,,2,",,Alle Migranten und Ausländer haben böse Absichten.""

Eine schlechte Tat von einem bestimmten Menschen wird, wenn es sich um einen Ausländer handelt, auf alle Ausländer bezogen. Danach handeln die Menschen natürlich auch. Obwohl die meisten gar keine bösen Absichten haben und nur Hilfe oder ein neuen Anfang brauchen.",#NAME?,,4,4,4,1,,2,3,4,3,1,1,3,4,4,3,4,1,18,63,2
474,SE,3/18/2021 18:00,2,3,Kaiser-Karl Schule,,,,,2,"Flat Earth Society, behauptet die Erde seine eine Scheibe. 

Sämtliche Verschwörungstheorien zum Corona Virus, dass es von Politikern oder zum Beispiel Greta Thunberg entwickelt und innen Umlauf gebracht wurde oder, dass es gar nicht existiert und nur von Politikern ausgedacht ist. 

Das der Klimawandel nicht existiert. ","Viele sind durch keinerlei Fakten basiert, sondern scheinen eher wie eine Religion oder andere Gemeinschaft die an etwas glauben. 

Sie verknüpfen verschiedenste Personen und Ereignisse ohne jeglichen Zusammenhang.

Klare Definition von Gut und Böse. 
",3,4,5,4,2,4,2,2,3,4,,3,4,5,5,3,2,1,16,65,2
476,SE,3/19/2021 8:38,2,3,Gymnasium Brunsbüttel,,,,,2,"Die häufigste Verschwörungstheorie, mit der man in den letzten Monaten konfrontiert wurde, behandelt den Zusammenhang von Staat und der Corona-Pandemie. 
Dabei wird angeführt, dass der Staat - bevorzugt auch China - die Corona-Pandemie geplant haben soll und dessen Ausführung einem genauen Muster folgt. 
Gerne dabei wird auch Bill Gates angeführt. Er wäre ebenfalls ein Akteur, der die Corona-Pandemie geplant haben soll und seine Macht dadurch ausweiten möchte. 
Harmlosere Theorien wären beispielsweise die Tatsache, dass die Welt eine Scheibe ist oder das die Mondladung gefaked war. 
Es kann aber noch in eine ""durchdachtere"" Richtung gehen, wenn Geheimbunde wie Illuminati oder Ähnliches angesprochen wird. Solche Geheimbunde hätten laut Verschwörungstheoretiker:innen beispielsweise die Komtrolle über bestimmte Ereignisse, wie beispielsweise den Anschlag von 9/11.",#NAME?,2,4,3,3,2,2,2,4,2,4,2,5,4,5,2,4,2,1,17,66,2
480,SE,3/19/2021 8:38,2,3,Gymnasium Brunsbüttel,,,,,2,"9/11-Verschwörungstheorien -Anschläge sollen vom US-amerikanischen Geheimdienst wissenschaftlich zugelassen worden sein

Klimawandel Leugnung-erfundene Erderwärmung und alles nur aus politisch/finanziellen Gründen

COVID9- Virus sei in einem chinesischen Labor erzeugt worden oder in einem Labor welches von Bill Gates finanziert wurde","Meistens sind sie nicht wirklich von Fakten gestützt

Sorgen für Widerstand gegen eine Gruppe von Personen.",2,4,4,3.333333333,4,3,1,1,1,2,4,3,5,5,4,4,1,1,17,68,2
485,SE,3/19/2021 8:39,2,3,Gymnasium Brunsbüttel,,,,,2,Ich kenne glaube ich keine Verschwörungstheorien{person_shrugging_tone2} {EM_FEMALE_SIGN}?,Sie können sich auf gleiche Personen beziehen{person_shrugging_tone2} {EM_FEMALE_SIGN}?,,1,2,1.5,,,,1,1,2,,,2,2,3,3,,1,16,70,2
491,SE,3/19/2021 8:39,2,3,Gymnasium Brunsbüttel,,,,,2,"- Corana existiert nicht  ->Masche der Politik
- extreme Polizeigewalt in Deutschland -> Verbreitung von Videos mit Polizeigewalt ohne die Hintergründe zu schieldern","- nicht Faktenbasiert und wenn dich dann meist falsch Nachrichten
- Aufstand bzw. Ausruf gegen etwas",4,3,2,3,1,3,1,3,3,4,3,3,3,4,4,3,2,1,17,73,2
498,SE,3/19/2021 8:40,2,3,Gymnasium Brunsbüttel ,,,,,2,"Erdscheibe
Reiche trinken kinderblut (teil von Q anon) 
Impungen verursachen Autismus 
Impfungen sind microchips
Die Mondlandung war gefälscht 
Politiker sind reptiluiden
Nazis in neuschwarbenland
Nazis lebeb auf dem Mond ","Eine böse macht
Alle Medien sind gekauft 
Satan ist schuld


",4,5,5,4.666666667,1,3,2,5,3,5,4,2,3,4,5,5,2,2,17,77,2
517,SE,3/23/2021 11:33,2,3,Gymnasium Brunsbüttel ,,,,,2,#NAME?,"Bei allen drei Theorien geht es darum, dass etwas nicht seine Richtigkeit hat. Bei den ersten beiden genannten wird etwas verleugnet, was nachweislich vorliegt.",2,4,,3,,,1,1,1,3,3,3,3,3,4,4,,1,16,84,2
525,SE,3/23/2021 11:34,2,3,Gymnasium Brunsbüttel,,,,,2,"Covid9
Das Virus soll in einem von Bill Gates finanzierten Labor entstanden und so ausgebrochen sein 

","-Wenden sich immer gegen die Regierung
- Keine beweise beziehungsweise Fakten, sondern stellen häufig nur Behauptungen auf
- ",3,4,4,3.666666667,2,2,2,3,2,3,4,2,4,4,4,4,2,1,17,88,2
527,SE,3/23/2021 11:34,2,3,Gymnasium Brunsbüttel ,,,,,2,#NAME?,"- es verbreitet sich schnell
- alles ist miteinader verbunden
- alles ist geplant
- keine Zufälle
- Glaube an etwas, was vielleicht gar nicht wahr ist",2,3,4,3,2,1,2,3,3,4,3,2,4,4,3,3,2,1,17,89,2
531,SE,3/23/2021 11:34,2,3,Gymnasium Brunsbüttel ,,,,,2,#NAME?,"Diese Verschwörungstheorie entstehen meist dadurch, dass eine bestimmte Gruppe durch das Streitthema Nachteile erfährt. Dadurch, dass der Klimawandel ein immer größeres Thema wird haben Menschen die zum Beispiel in der Kohleindustrie weniger Arbeit. Genauso ist es bei COVID9 einige Gruppen leiden darunter und verbreiten deshalb die Meinung, dass es nicht existiert. Diese Leute sind fest davon überzeugt und verbreiten ihr Meinung oft sehr radikal. Diesen Punkt haben die Verschwörungstheorie gemeinsam.  Zusätzlich gibt es sowieso immer sehr viele verschiedene Meinungen da fällt es schwer herauszufiltern was man glauben soll und so gibt es auch verschiedene Theorien und jeder entscheidet was er für richtig hält.",2,4,4,3.333333333,2,4,2,3,3,4,4,2,4,4,4,4,2,1,17,91,2
533,SE,3/23/2021 11:34,2,3,Gymnasium Brunsbüttel ,,,,,2,#NAME?,#NAME?,4,4,4,4,3,,2,3,4,4,4,4,4,4,4,4,2,2,16,92,2
535,SE,3/23/2021 11:35,2,3,Gymnasium Brunsbüttel,,,,,2,"Alles mögliche von der Mondlandung die nie statt gefunden hat und über die Ermordung von JFK habe ich auch schon Verschwörungstheorien gehört. Bei dieser geht es darum, dass das Attentat nie statt gefunden hat. Auch was deutsche Politiker angeht habe ich schon alles mögliche gehört z.B. das Frau Merkel eigentlich ein Echsenmensch ist.",#NAME?,2,4,4,3.333333333,1,4,2,4,3,4,5,2,4,5,4,5,2,2,17,93,2
538,SE,3/23/2021 11:35,2,3,Gymnasium Brunsbüttel ,,,,,2,#NAME?,#NAME?,5,4,5,4.666666667,2,,2,4,4,4,2,2,3,3,2,2,3,1,17,94,2
540,SE,3/23/2021 11:35,2,3,,,,,,2,"9/11 war inszeniert 
Corona gibt es nicht 
",Suche nach Schuldigen ,,,,,2,,2,2,2,3,3,2,3,,,,,-9,,95,2
545,SE,3/23/2021 11:44,2,3,Gymnasium Brunsbüttel,,,,,2,"Klimaleugner - Der Klimawandel existiert nicht, oder wurde nur erfunden, damit Forscher mit Forschungsgeldern Profit machen.

Mikrochips im Impfstoff gegen Corona, damit wir alle kontrolliert werden.

Die neuen 5G Wellen sollen uns kontrollieren, Bill Gates will uns damit kontrollieren oder unsere ganzen Daten sammeln und uns ausspionieren.

Corona existiert nicht/ Wuhan experimentierte an Tieren, wodurch Corona entstand und sie es somit als Waffe benutzen, damit sie, falls ein Krieg ausbrechen würde, die Oberhand behalten.

Masken verschlechtern unsere Atmung und können gesundheitliche Schäden hervorrufen.","Enstehen vor allem durch Gerüchte.
Sie basieren nicht auf Fakten, sondern meistens auf Mutmaßungen oder wurden einfach frei erfunden.
",3,4,3,3.333333333,2,4,1,2,2,4,3,2,3,4,5,4,1,1,17,98,2
560,SE,3/29/2021 12:27,2,2,Oberschule zum Dom in Lübeck,,,,,2,"- Corona: Bill Gates will uns allen einen Mikrochip implantieren
-Corona gibt es gar nicht, wurde von Politikern/ irgendwem erfunden zu einem egoistischen asozialen Zweck
- Corona wurde absichtlich in einem Labor gezüchtet und ""freigelassen""
- nichts konkretes, aber es gibt ja eigentlich zu z.B. jedem Attentat/jeder umstrittenen Entscheidung usw. Verschwörungstheorien","- es gibt immer eine*n Böse*n
- jemand verfolgt einen Hintergedanken bei einer Entscheidung
- es gibt keine richtigen/glaubwürdigen Belege und Begründungen
- die Bevölkerung ist bedroht
- geheime Organisationen, die sehr groß sind (obwohl sowas ja fast unmöglich ist geheim zu organisieren?!)
- Berühmte oder Politker oder bestimmte Bevölkerungsgruppen sind verwickelt
- es wird aufgebauscht und dramatisiert",4,5,5,4.666666667,1,4,2,3,3,4,4,4,4,4,5,,4,1,16,105,2
