CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
325,SE,OzD,3,2,2,2.333333333,1,2,2,1.666666667, ,3,4,4, ,1,16,1,44
329,SE,OzD, ,3,2,2.5,1,2,1,1.333333333,3,2,4,5, ,2,16,1,89
331,SE,OzD,2,2,2,2,1,1,2,1.333333333,3,5, ,2, ,1,15,1,142
332,SE,OzD,5,5,5,5,1,4,3,2.666666667,4,2,4,5,3,2,16,0,
333,SE,OzD, ,3,2,2.5,1,1,1,1,3,3,3,3, ,1,15,1,124
334,SE,OzD,3,4,4,3.666666667,2,2,1,1.666666667,4,2,5,5, ,2,15,0,
337,SE,OzD,2,4, ,3,2,1,2,1.666666667,2,2,4,5, ,1,15,0,
340,SE,OzD,3,3,5,3.666666667,2,3,1,2,4,2,4,4,2,2,15,0,
346,SE,Detlefsengymnasium,3,5,4,4,2,4,3,3,4,5,3,4,2,1,18,1,136
348,SE,Detlefsengymnasium,3,4,4,3.666666667,3,4,3,3.333333333,5,4,5,5,2,1,17,0,
349,SE,Detlefsengymnasium,3,2,3,2.666666667,1,2,3,2,3,2,4,3, ,1,17,0,
350,SE,Detlefsengymnasium,4,4,4,4,2,4,4,3.333333333,4,5,5,4,2,1,17,1,82
352,SE,Detlefsengymnasium,4,3,2,3,1,2,3,2,4,4,4,4,3,1,17,0,
354,SE,Detlefsengymnasium,3,4,4,3.666666667,2,1,2,1.666666667,5,4,4,4,2,,18,1,59
355,SE,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,2,4,3,3,2,16,0,
358,SE,Detlefsengymnasium,4,4,4,4,1,4,3,2.666666667,2,3,4,4, ,1,16,0,
362,SE,Detlefsengymnasium,3,4,4,3.666666667,2,2,2,2,5,4,5,5,3,2,18,0,
363,SE,Detlefsengymnasium,4,4,5,4.333333333,2,2,2,2,3,4,4,5, ,1,16,1,52
365,SE,Detlefsengymnasium,2,2,3,2.333333333,3,2,2,2.333333333,4,4,4,4,3,1,17,0,
368,SE,Detlefsengymnasium,2, , ,2,2,2,4,2.666666667, ,5,4,5, ,1,17,1,173
375,SE,Detlefsengymnasium,2,4,3,3,3,3,3,3,4,4,4,4,2,1,17,1,92
376,SE,Detlefsengymnasium,3,2, ,2.5,1,2,1,1.333333333, ,2,4, , ,1,17,1,170
378,SE,Detlefsengymnasium,3,4,3,3.333333333,2,2,2,2,3,4,5,5,3,1,17,1,101
380,SE,Detlefsengymnasium,4,4,3,3.666666667,2,4,3,3,3,5,4, , ,,17,1,118
385,SE,Detlefsengymnasium,2,4,3,3,3,2,3,2.666666667,4,4,4,4, ,1,16,1,116
386,SE,Detlefsengymnasium,2,4,4,3.333333333,1,2,2,1.666666667,3,4,4,4,4,1,17,1,138
388,SE,Detlefsengymnasium,3,4,3,3.333333333,3,4,3,3.333333333,4,4,4,4,2,1,17,1,108
407,SE,FSG,2,4,4,3.333333333,1,2,1,1.333333333,2,3,4,4,3,1,17,1,75
409,SE,OzD,2, ,3,2.5,1, ,2,1.5, ,3,4, , ,1,16,1,170
412,SE,OzD,2,4, ,3,1,2,2,1.666666667,4,3, ,4, ,1,16,1,144
415,SE,OzD,3, , ,3,1,1,1,1,4,3,4,4,2,1,15,1,78
417,SE,OzD,3,3, ,3,1,2,1,1.333333333, ,4, ,5, ,1,15,1,132
421,SE,OzD,4, , ,4,1,1,1,1,4,3,4,4,2,1,16,1,74
425,SE,OzD,2,2,2,2,2,3,3,2.666666667,3,4,4,4, ,1,15,1,86
427,SE,OzD,2,3,3,2.666666667,1,2,2,1.666666667,3,3,4,4,2,1,16,1,69
434,SE,CJB,5,5,5,5,2,4,2,2.666666667,4,3,5,5,2,1,16,1,531
437,SE,CJB,3,4,2,3,1,1,2,1.333333333,3,3,4,3, ,1,17,1,413
441,SE,CJB,4,4,4,4,1,2,3,2,4,3,4,3,2,1,17,1,50
444,SE,CJB,3,3,2,2.666666667,1,2,2,1.666666667,2,3,4,3, ,1,16,1,220
464,SE,KKS,3,4,4,3.666666667,3,3,4,3.333333333,4,3,5,5,2,2,17,1,106
469,SE,KKS,4,3, ,3.5,2,2,1,1.666666667,3,4,4,4, ,1,17,1,50
470,SE,KKS, ,4,4,4,2,3,4,3,1,3,4,3,4,1,18,1,133
473,SE,KKS,5,5,4,4.666666667,1,3,2,2,4,4,5,4, ,2,17,1,52
474,SE,KKS,3,4,5,4,2,2,3,2.333333333, ,4,5,3,2,1,16,1,141
476,SE,GymB,2,4,3,3,2,4,2,2.666666667,2,4,2,4,2,1,17,1,148
480,SE,GymB,2,4,4,3.333333333,1,1,1,1,4,5,4,4,1,1,17,1,83
485,SE,GymB, ,1,2,1.5, ,1,1,1, ,2,3,3, ,1,16,1,114
491,SE,GymB,4,3,2,3,1,3,3,2.333333333,3,3,4,3,2,1,17,1,81
492,SE,GymB,2,4,4,3.333333333,1,2,2,1.666666667,4,3,4,5, ,1,17,1,54
498,SE,GymB,4,5,5,4.666666667,2,5,3,3.333333333,4,3,5,5,2,2,17,1,143
509,SE,GymB, ,5,5,5, ,4,1,2.5,5,4,5,5,1,2,17,0,
515,SE,GymB, ,4,3,3.5,2,3,2,2.333333333,2,3,4,3,3,2,17,1,63
517,SE,GymB,2,4, ,3,1,1,1,1,3,3,4,4, ,1,16,1,233
521,SE,GymB,4, ,3,3.5,3,3,2,2.666666667,3,4,4, ,2,2,17,1,68
525,SE,GymB,3,4,4,3.666666667,2,3,2,2.333333333,4,4,4,4,2,1,17,1,181
527,SE,GymB,2,3,4,3,2,3,3,2.666666667,3,4,3,3,2,1,17,1,141
530,SE,GymB,3,3, ,3,2,1,2,1.666666667,5,3,4,5,1,1,19,1,10
531,SE,GymB,2,4,4,3.333333333,2,3,3,2.666666667,4,4,4,4,2,1,17,1,94
533,SE,GymB,4,4,4,4,2,3,4,3,4,4,4,4,2,2,16,1,163
535,SE,GymB,2,4,4,3.333333333,2,4,3,3,5,4,4,5,2,2,17,1,126
538,SE,GymB,5,4,5,4.666666667,2,4,4,3.333333333,2,3,2,2,3,1,17,1,108
540,SE,GymB, , , ,,2,2,2,2,3,3, , , ,,,1,107
545,SE,GymB,3,4,3,3.333333333,1,2,2,1.666666667,3,3,5,4,1,1,17,1,96
560,SE,OzD,4,5,5,4.666666667,2,3,3,2.666666667,4,4,5, ,4,1,16,1,140
568,SE,OzD,2, , ,2,2,2,2,2,3,3,4, , ,2,16,1,150
571,SE,OzD,3,3,4,3.333333333,2,2,4,2.666666667, ,3,4,3, ,1,16,1,158
573,SE,OzD,1,3,3,2.333333333,2,3,2,2.333333333,4,3,5,3,2,1,16,1,119
576,SE,OzD,2,3,3,2.666666667,1,3,3,2.333333333,4,4,4,4,2,1,16,1,122
589,SE,JRG,2,2,4,2.666666667,1,3,3,2.333333333,2,3,2,1,3,2,18,1,61
591,SE,JRG,3,4,3,3.333333333,1,2,1,1.333333333,2,2,2,2,3,2,16,1,63
593,SE,JRG,2,3,2,2.333333333,2,2,3,2.333333333,4,4,4,3, ,1,17,1,146
596,SE,JRG,2,3,3,2.666666667,2,3,2,2.333333333,4,4,4,4, ,1,17,1,170
598,SE,JRG,5,5,4,4.666666667,2,5,3,3.333333333,4,3,4,5,3,2,17,1,137
602,SE,JRG,4,3,3,3.333333333,2,2,2,2,3,3,4,5, ,2,18,1,134
604,SE,JRG,5,5,4,4.666666667,1,4,4,3,5,4,5,4,1,2,17,1,175
606,SE,JRG,4,4,5,4.333333333,2,4,3,3,4,4,5,4,2,2,17,1,84
610,SE,JRG,5,4,3,4,2,3,2,2.333333333,4,3,3,4, ,2,17,1,55
296,U1,Detlefsengymnasium,,2,,2,1,3,3,2.333333333,,3,4,4,2,1,17,0,
168,U1,FPS,3,2,,2.5,,2,1,1.5,,4,,4,,2,17,0,
173,U1,FPS,4,1,5,3.333333333,3,4,4,3.666666667,,4,4,3,,2,15,0,
175,U1,FPS,2,4,4,3.333333333,2,2,1,1.666666667,5,4,4,4,3,2,16,0,
181,U1,FPS,4,,,4,2,2,2,2,,4,4,5,,2,17,0,
116,U1,FPS,3,1,4,2.666666667,2,3,2,2.333333333,3,3,4,4,3,2,17,0,
169,U1,FPS,4,3,4,3.666666667,2,2,1,1.666666667,3,3,3,3,4,2,16,0,
246,U1,Detlefsengymnasium,2,3,4,3,1,2,3,2,3,1,4,4,3,1,17,0,
238,U1,Detlefsengymnasium,3,2,3,2.666666667,,1,1,1,4,3,4,4,3,1,17,0,
233,U1,Detlefsengymnasium,2,2,2,2,2,2,2,2,3,3,4,4,2,1,16,0,
118,U1,FPS,2,3,3,2.666666667,1,2,2,1.666666667,2,3,3,4,2,1,17,0,
252,U1,Detlefsengymnasium,4,4,4,4,1,3,2,2,2,3,4,3,4,2,17,0,
295,U1,Detlefsengymnasium,,4,4,4,2,3,3,2.666666667,3,4,4,3,,1,17,0,
174,U1,FPS,2,3,2,2.333333333,1,2,1,1.333333333,1,3,4,1,1,1,17,0,
120,U1,FPS,4,4,4,4,2,3,3,2.666666667,3,4,4,3,3,1,16,0,
297,U1,Detlefsengymnasium,3,2,,2.5,1,2,1,1.333333333,,2,,,,1,17,0,
183,U1,FPS,2,4,3,3,2,3,2,2.333333333,3,4,4,4,3,1,17,0,
119,U1,FPS,4,4,4,4,2,3,2,2.333333333,4,4,5,4,4,2,17,0,
110,U1,FPS,2,3,5,3.333333333,2,3,5,3.333333333,3,4,5,5,,1,17,0,
193,U1,FPS,3,4,4,3.666666667,1,3,2,2,4,3,5,4,2,1,16,0,
250,U1,Detlefsengymnasium,4,4,4,4,3,4,2,3,,4,5,2,,2,17,0,
249,U1,Detlefsengymnasium,3,4,4,3.666666667,4,2,3,3,4,4,4,4,3,2,17,0,
176,U1,FPS,1,2,3,2,1,2,2,1.666666667,3,3,5,4,2,2,17,0,
292,U1,Detlefsengymnasium,2,4,,3,,3,2,2.5,,4,3,4,,2,16,0,
285,U1,Detlefsengymnasium,,3,4,3.5,1,1,1,1,,3,4,3,,2,16,0,
177,U1,FPS,1,4,4,3,2,2,2,2,4,3,3,3,1,1,17,0,
235,U1,Detlefsengymnasium,4,3,3,3.333333333,1,3,2,2,2,4,4,3,3,1,17,0,
112,U1,FPS,4,4,4,4,2,2,2,2,4,2,4,4,,1,16,0,
231,U1,Detlefsengymnasium,,,,,1,3,3,2.333333333,4,3,4,4,2,1,17,0,
290,U1,Detlefsengymnasium,3,2,3,2.666666667,2,2,2,2,4,4,5,5,3,1,17,0,
243,U1,Detlefsengymnasium,3,4,4,3.666666667,2,3,2,2.333333333,3,4,4,3,2,1,17,0,
186,U1,FPS,4,3,3,3.333333333,2,3,,2.5,3,3,4,4,,1,17,0,
241,U1,Detlefsengymnasium,3,4,2,3,1,1,2,1.333333333,2,3,1,2,3,2,17,0,
194,U1,FPS,,4,4,4,1,2,1,1.333333333,4,4,,,4,1,16,0,
114,U1,FPS,2,3,3,2.666666667,1,3,2,2,3,4,4,5,1,2,17,0,
109,U1,FPS,4,4,4,4,3,2,3,2.666666667,2,3,5,3,3,2,17,0,
170,U1,FPS,5,4,4,4.333333333,1,2,1,1.333333333,3,5,4,4,3,2,16,0,
248,U1,Detlefsengymnasium ,,,,,3,2,1,2,4,3,3,3,3,1,18,0,
117,U1,FPS,,2,,2,2,3,2,2.333333333,3,3,,3,,2,17,0,
188,U1,FPS,3,3,,3,,2,1,1.5,,3,5,,,2,16,0,
289,U1,Detlefsengymnasium,2,,3,2.5,2,2,1,1.666666667,,3,4,,2,1,16,0,
291,U1,Detlefsengymnasium,3,4,4,3.666666667,3,2,2,2.333333333,4,3,4,3,3,2,17,0,
187,U1,FPS,4,4,4,4,1,4,2,2.333333333,3,4,5,5,3,1,17,0,
247,U1,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,3,2,3,4,2,17,0,
122,U1,FPS,3,2,4,3,2,2,3,2.333333333,4,3,4,2,,1,16,0,
178,U1,FPS,3,4,3,3.333333333,2,4,4,3.333333333,4,4,5,5,2,2,17,0,
113,U1,FPS,3,2,,2.5,1,2,3,2,5,3,4,5,3,1,17,0,
293,U1,Detlefsengymnasium,,2,2,2,1,2,2,1.666666667,4,4,4,4,2,1,17,0,
299,U1,Detlefsengymnasium,2,2,3,2.333333333,2,2,2,2,4,3,2,5,,1,17,0,
294,U1,Detlefsengymnasium,3,4,3,3.333333333,4,5,4,4.333333333,3,3,4,3,3,2,16,0,
230,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,4,3,5,4,2,2,17,0,
242,U1,Detlefsengymnasium,,4,4,4,2,2,1,1.666666667,4,3,,3,,2,17,0,
190,U1,FPS,2,4,4,3.333333333,2,3,3,2.666666667,3,4,5,3,2,1,17,0,
240,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,5,3,5,5,2,2,17,0,
189,U1,FPS,3,4,4,3.666666667,2,3,4,3,5,4,4,4,3,2,18,0,
245,U1,Detlefsengymnasium,2,2,3,2.333333333,1,1,2,1.333333333,4,4,4,5,2,1,17,0,
111,U1,FPS,3,4,4,3.666666667,1,3,2,2,1,2,4,1,,1,17,0,
121,U1,FPS,3,5,4,4,2,4,4,3.333333333,4,4,5,4,2,2,17,0,
287,U1,Detlefsengymnasium,4,4,4,4,2,4,3,3,3,3,4,5,2,2,17,0,
232,U1,Detlefsengymnasium,3,4,3,3.333333333,1,2,1,1.333333333,,3,3,2,,1,17,0,
236,U1,Detlefsengymnasium,2,4,4,3.333333333,1,2,2,1.666666667,3,2,4,5,2,1,16,0,
288,U1,Detlefsengymnasium ,,3,4,3.5,1,2,2,1.666666667,,2,4,4,,1,17,0,
180,U1,FPS,4,4,4,4,2,5,3,3.333333333,2,4,5,3,4,2,17,0,
115,U1,FPS,2,3,4,3,1,2,3,2,3,5,4,,4,1,18,0,
